KommuneNr,IndicatorType,Year,Value,KommuneName
163,Indbyggertal 1. januar,2013,26958.0,Herlev Kommune
163,Indbyggertal 1. januar,2014,27706.0,Herlev Kommune
163,Indbyggertal 1. januar,2015,28148.0,Herlev Kommune
163,Indbyggertal 1. januar,2016,28423.0,Herlev Kommune
163,Indbyggertal 1. januar,2017,28406.0,Herlev Kommune
163,Indbyggertal 1. januar,2018,28572.0,Herlev Kommune
163,Indbyggertal 1. januar,2019,28786.0,Herlev Kommune
163,Indbyggertal 1. januar,2020,28953.0,Herlev Kommune
165,Indbyggertal 1. januar,2010,27730.0,Albertslund Kommune
165,Indbyggertal 1. januar,2011,27800.0,Albertslund Kommune
165,Indbyggertal 1. januar,2012,27864.0,Albertslund Kommune
165,Indbyggertal 1. januar,2013,27824.0,Albertslund Kommune
165,Indbyggertal 1. januar,2014,27728.0,Albertslund Kommune
165,Indbyggertal 1. januar,2015,27806.0,Albertslund Kommune
165,Indbyggertal 1. januar,2016,27880.0,Albertslund Kommune
165,Indbyggertal 1. januar,2017,27896.0,Albertslund Kommune
165,Indbyggertal 1. januar,2018,27743.0,Albertslund Kommune
165,Indbyggertal 1. januar,2019,27877.0,Albertslund Kommune
165,Indbyggertal 1. januar,2020,27731.0,Albertslund Kommune
167,Indbyggertal 1. januar,2010,49724.0,Hvidovre Kommune
167,Indbyggertal 1. januar,2011,50081.0,Hvidovre Kommune
167,Indbyggertal 1. januar,2012,50600.0,Hvidovre Kommune
167,Indbyggertal 1. januar,2013,51341.0,Hvidovre Kommune
167,Indbyggertal 1. januar,2014,51842.0,Hvidovre Kommune
167,Indbyggertal 1. januar,2015,52380.0,Hvidovre Kommune
167,Indbyggertal 1. januar,2016,52831.0,Hvidovre Kommune
167,Indbyggertal 1. januar,2017,52964.0,Hvidovre Kommune
167,Indbyggertal 1. januar,2018,53282.0,Hvidovre Kommune
167,Indbyggertal 1. januar,2019,53416.0,Hvidovre Kommune
167,Indbyggertal 1. januar,2020,53527.0,Hvidovre Kommune
169,Indbyggertal 1. januar,2010,47664.0,Høje-Taastrup Kommune
169,Indbyggertal 1. januar,2011,47753.0,Høje-Taastrup Kommune
169,Indbyggertal 1. januar,2012,48081.0,Høje-Taastrup Kommune
169,Indbyggertal 1. januar,2013,48471.0,Høje-Taastrup Kommune
169,Indbyggertal 1. januar,2014,48807.0,Høje-Taastrup Kommune
169,Indbyggertal 1. januar,2015,49230.0,Høje-Taastrup Kommune
169,Indbyggertal 1. januar,2016,49960.0,Høje-Taastrup Kommune
169,Indbyggertal 1. januar,2017,50246.0,Høje-Taastrup Kommune
169,Indbyggertal 1. januar,2018,50596.0,Høje-Taastrup Kommune
169,Indbyggertal 1. januar,2019,50686.0,Høje-Taastrup Kommune
169,Indbyggertal 1. januar,2020,50759.0,Høje-Taastrup Kommune
173,Indbyggertal 1. januar,2010,52237.0,Lyngby-Taarbæk Kommune
173,Indbyggertal 1. januar,2011,52754.0,Lyngby-Taarbæk Kommune
173,Indbyggertal 1. januar,2012,53251.0,Lyngby-Taarbæk Kommune
173,Indbyggertal 1. januar,2013,53840.0,Lyngby-Taarbæk Kommune
173,Indbyggertal 1. januar,2014,54237.0,Lyngby-Taarbæk Kommune
173,Indbyggertal 1. januar,2015,54778.0,Lyngby-Taarbæk Kommune
173,Indbyggertal 1. januar,2016,55097.0,Lyngby-Taarbæk Kommune
173,Indbyggertal 1. januar,2017,55240.0,Lyngby-Taarbæk Kommune
173,Indbyggertal 1. januar,2018,55472.0,Lyngby-Taarbæk Kommune
173,Indbyggertal 1. januar,2019,55790.0,Lyngby-Taarbæk Kommune
173,Indbyggertal 1. januar,2020,56214.0,Lyngby-Taarbæk Kommune
175,Indbyggertal 1. januar,2010,36233.0,Rødovre Kommune
175,Indbyggertal 1. januar,2011,36524.0,Rødovre Kommune
175,Indbyggertal 1. januar,2012,36883.0,Rødovre Kommune
175,Indbyggertal 1. januar,2013,37351.0,Rødovre Kommune
175,Indbyggertal 1. januar,2014,37552.0,Rødovre Kommune
175,Indbyggertal 1. januar,2015,37743.0,Rødovre Kommune
175,Indbyggertal 1. januar,2016,38002.0,Rødovre Kommune
175,Indbyggertal 1. januar,2017,38492.0,Rødovre Kommune
175,Indbyggertal 1. januar,2018,39343.0,Rødovre Kommune
175,Indbyggertal 1. januar,2019,40052.0,Rødovre Kommune
175,Indbyggertal 1. januar,2020,40652.0,Rødovre Kommune
183,Indbyggertal 1. januar,2010,20606.0,Ishøj Kommune
183,Indbyggertal 1. januar,2011,20797.0,Ishøj Kommune
183,Indbyggertal 1. januar,2012,21087.0,Ishøj Kommune
183,Indbyggertal 1. januar,2013,21131.0,Ishøj Kommune
183,Indbyggertal 1. januar,2014,21547.0,Ishøj Kommune
183,Indbyggertal 1. januar,2015,22025.0,Ishøj Kommune
183,Indbyggertal 1. januar,2016,22358.0,Ishøj Kommune
183,Indbyggertal 1. januar,2017,22719.0,Ishøj Kommune
183,Indbyggertal 1. januar,2018,22988.0,Ishøj Kommune
183,Indbyggertal 1. januar,2019,22946.0,Ishøj Kommune
183,Indbyggertal 1. januar,2020,22989.0,Ishøj Kommune
185,Indbyggertal 1. januar,2010,40383.0,Tårnby Kommune
185,Indbyggertal 1. januar,2011,40835.0,Tårnby Kommune
185,Indbyggertal 1. januar,2012,41151.0,Tårnby Kommune
185,Indbyggertal 1. januar,2013,41572.0,Tårnby Kommune
185,Indbyggertal 1. januar,2014,41992.0,Tårnby Kommune
185,Indbyggertal 1. januar,2015,42573.0,Tårnby Kommune
185,Indbyggertal 1. januar,2016,42860.0,Tårnby Kommune
185,Indbyggertal 1. januar,2017,43010.0,Tårnby Kommune
185,Indbyggertal 1. januar,2018,43063.0,Tårnby Kommune
185,Indbyggertal 1. januar,2019,42984.0,Tårnby Kommune
185,Indbyggertal 1. januar,2020,42989.0,Tårnby Kommune
187,Indbyggertal 1. januar,2010,14045.0,Vallensbæk Kommune
187,Indbyggertal 1. januar,2011,14445.0,Vallensbæk Kommune
187,Indbyggertal 1. januar,2012,14565.0,Vallensbæk Kommune
187,Indbyggertal 1. januar,2013,14797.0,Vallensbæk Kommune
187,Indbyggertal 1. januar,2014,15095.0,Vallensbæk Kommune
187,Indbyggertal 1. januar,2015,15204.0,Vallensbæk Kommune
187,Indbyggertal 1. januar,2016,15419.0,Vallensbæk Kommune
187,Indbyggertal 1. januar,2017,15705.0,Vallensbæk Kommune
187,Indbyggertal 1. januar,2018,16280.0,Vallensbæk Kommune
187,Indbyggertal 1. januar,2019,16654.0,Vallensbæk Kommune
187,Indbyggertal 1. januar,2020,16633.0,Vallensbæk Kommune
190,Indbyggertal 1. januar,2010,38232.0,Furesø Kommune
190,Indbyggertal 1. januar,2011,38286.0,Furesø Kommune
190,Indbyggertal 1. januar,2012,38243.0,Furesø Kommune
190,Indbyggertal 1. januar,2013,38236.0,Furesø Kommune
190,Indbyggertal 1. januar,2014,38492.0,Furesø Kommune
190,Indbyggertal 1. januar,2015,39077.0,Furesø Kommune
190,Indbyggertal 1. januar,2016,40156.0,Furesø Kommune
190,Indbyggertal 1. januar,2017,40613.0,Furesø Kommune
190,Indbyggertal 1. januar,2018,40911.0,Furesø Kommune
190,Indbyggertal 1. januar,2019,41069.0,Furesø Kommune
190,Indbyggertal 1. januar,2020,40965.0,Furesø Kommune
201,Indbyggertal 1. januar,2010,24089.0,Allerød Kommune
201,Indbyggertal 1. januar,2011,24096.0,Allerød Kommune
201,Indbyggertal 1. januar,2012,24043.0,Allerød Kommune
201,Indbyggertal 1. januar,2013,24073.0,Allerød Kommune
201,Indbyggertal 1. januar,2014,24175.0,Allerød Kommune
201,Indbyggertal 1. januar,2015,24411.0,Allerød Kommune
201,Indbyggertal 1. januar,2016,24732.0,Allerød Kommune
201,Indbyggertal 1. januar,2017,24942.0,Allerød Kommune
201,Indbyggertal 1. januar,2018,25235.0,Allerød Kommune
201,Indbyggertal 1. januar,2019,25646.0,Allerød Kommune
201,Indbyggertal 1. januar,2020,25633.0,Allerød Kommune
210,Indbyggertal 1. januar,2010,39226.0,Fredensborg Kommune
210,Indbyggertal 1. januar,2011,39341.0,Fredensborg Kommune
210,Indbyggertal 1. januar,2012,39565.0,Fredensborg Kommune
210,Indbyggertal 1. januar,2013,39462.0,Fredensborg Kommune
210,Indbyggertal 1. januar,2014,39585.0,Fredensborg Kommune
210,Indbyggertal 1. januar,2015,39772.0,Fredensborg Kommune
210,Indbyggertal 1. januar,2016,40112.0,Fredensborg Kommune
210,Indbyggertal 1. januar,2017,40504.0,Fredensborg Kommune
210,Indbyggertal 1. januar,2018,40779.0,Fredensborg Kommune
210,Indbyggertal 1. januar,2019,40819.0,Fredensborg Kommune
210,Indbyggertal 1. januar,2020,40865.0,Fredensborg Kommune
217,Indbyggertal 1. januar,2010,61143.0,Helsingør Kommune
217,Indbyggertal 1. januar,2011,61368.0,Helsingør Kommune
217,Indbyggertal 1. januar,2012,61493.0,Helsingør Kommune
217,Indbyggertal 1. januar,2013,61613.0,Helsingør Kommune
217,Indbyggertal 1. januar,2014,61519.0,Helsingør Kommune
217,Indbyggertal 1. januar,2015,61632.0,Helsingør Kommune
217,Indbyggertal 1. januar,2016,62092.0,Helsingør Kommune
217,Indbyggertal 1. januar,2017,62443.0,Helsingør Kommune
217,Indbyggertal 1. januar,2018,62686.0,Helsingør Kommune
217,Indbyggertal 1. januar,2019,62567.0,Helsingør Kommune
217,Indbyggertal 1. januar,2020,62695.0,Helsingør Kommune
219,Indbyggertal 1. januar,2010,47473.0,Hillerød Kommune
219,Indbyggertal 1. januar,2011,47916.0,Hillerød Kommune
219,Indbyggertal 1. januar,2012,48203.0,Hillerød Kommune
219,Indbyggertal 1. januar,2013,48315.0,Hillerød Kommune
219,Indbyggertal 1. januar,2014,48695.0,Hillerød Kommune
219,Indbyggertal 1. januar,2015,49108.0,Hillerød Kommune
219,Indbyggertal 1. januar,2016,49672.0,Hillerød Kommune
219,Indbyggertal 1. januar,2017,50109.0,Hillerød Kommune
219,Indbyggertal 1. januar,2018,50650.0,Hillerød Kommune
219,Indbyggertal 1. januar,2019,50998.0,Hillerød Kommune
219,Indbyggertal 1. januar,2020,51183.0,Hillerød Kommune
223,Indbyggertal 1. januar,2010,24378.0,Hørsholm Kommune
223,Indbyggertal 1. januar,2011,24415.0,Hørsholm Kommune
223,Indbyggertal 1. januar,2012,24365.0,Hørsholm Kommune
223,Indbyggertal 1. januar,2013,24543.0,Hørsholm Kommune
223,Indbyggertal 1. januar,2014,24709.0,Hørsholm Kommune
223,Indbyggertal 1. januar,2015,24856.0,Hørsholm Kommune
223,Indbyggertal 1. januar,2016,24965.0,Hørsholm Kommune
223,Indbyggertal 1. januar,2017,24977.0,Hørsholm Kommune
223,Indbyggertal 1. januar,2018,25028.0,Hørsholm Kommune
223,Indbyggertal 1. januar,2019,25007.0,Hørsholm Kommune
223,Indbyggertal 1. januar,2020,24864.0,Hørsholm Kommune
230,Indbyggertal 1. januar,2010,54444.0,Rudersdal Kommune
230,Indbyggertal 1. januar,2011,54765.0,Rudersdal Kommune
230,Indbyggertal 1. januar,2012,54630.0,Rudersdal Kommune
230,Indbyggertal 1. januar,2013,54827.0,Rudersdal Kommune
230,Indbyggertal 1. januar,2014,55034.0,Rudersdal Kommune
230,Indbyggertal 1. januar,2015,55441.0,Rudersdal Kommune
230,Indbyggertal 1. januar,2016,55739.0,Rudersdal Kommune
230,Indbyggertal 1. januar,2017,56133.0,Rudersdal Kommune
230,Indbyggertal 1. januar,2018,55989.0,Rudersdal Kommune
230,Indbyggertal 1. januar,2019,56509.0,Rudersdal Kommune
230,Indbyggertal 1. januar,2020,56728.0,Rudersdal Kommune
240,Indbyggertal 1. januar,2010,41513.0,Egedal Kommune
240,Indbyggertal 1. januar,2011,41614.0,Egedal Kommune
240,Indbyggertal 1. januar,2012,41821.0,Egedal Kommune
240,Indbyggertal 1. januar,2013,42018.0,Egedal Kommune
240,Indbyggertal 1. januar,2014,42210.0,Egedal Kommune
240,Indbyggertal 1. januar,2015,42573.0,Egedal Kommune
240,Indbyggertal 1. januar,2016,42773.0,Egedal Kommune
240,Indbyggertal 1. januar,2017,43082.0,Egedal Kommune
240,Indbyggertal 1. januar,2018,43000.0,Egedal Kommune
240,Indbyggertal 1. januar,2019,43335.0,Egedal Kommune
240,Indbyggertal 1. januar,2020,43354.0,Egedal Kommune
250,Indbyggertal 1. januar,2010,44182.0,Frederikssund Kommune
250,Indbyggertal 1. januar,2011,44307.0,Frederikssund Kommune
250,Indbyggertal 1. januar,2012,44345.0,Frederikssund Kommune
250,Indbyggertal 1. januar,2013,44365.0,Frederikssund Kommune
250,Indbyggertal 1. januar,2014,44401.0,Frederikssund Kommune
250,Indbyggertal 1. januar,2015,44413.0,Frederikssund Kommune
250,Indbyggertal 1. januar,2016,44725.0,Frederikssund Kommune
250,Indbyggertal 1. januar,2017,45036.0,Frederikssund Kommune
250,Indbyggertal 1. januar,2018,45189.0,Frederikssund Kommune
250,Indbyggertal 1. januar,2019,45332.0,Frederikssund Kommune
250,Indbyggertal 1. januar,2020,45223.0,Frederikssund Kommune
260,Indbyggertal 1. januar,2010,31077.0,Halsnæs Kommune
260,Indbyggertal 1. januar,2011,31056.0,Halsnæs Kommune
260,Indbyggertal 1. januar,2012,30980.0,Halsnæs Kommune
260,Indbyggertal 1. januar,2013,30803.0,Halsnæs Kommune
260,Indbyggertal 1. januar,2014,30647.0,Halsnæs Kommune
260,Indbyggertal 1. januar,2015,30736.0,Halsnæs Kommune
260,Indbyggertal 1. januar,2016,31049.0,Halsnæs Kommune
260,Indbyggertal 1. januar,2017,31162.0,Halsnæs Kommune
260,Indbyggertal 1. januar,2018,31168.0,Halsnæs Kommune
260,Indbyggertal 1. januar,2019,31271.0,Halsnæs Kommune
260,Indbyggertal 1. januar,2020,31384.0,Halsnæs Kommune
270,Indbyggertal 1. januar,2010,40694.0,Gribskov Kommune
270,Indbyggertal 1. januar,2011,40700.0,Gribskov Kommune
270,Indbyggertal 1. januar,2012,40603.0,Gribskov Kommune
270,Indbyggertal 1. januar,2013,40655.0,Gribskov Kommune
270,Indbyggertal 1. januar,2014,40778.0,Gribskov Kommune
270,Indbyggertal 1. januar,2015,40855.0,Gribskov Kommune
270,Indbyggertal 1. januar,2016,41107.0,Gribskov Kommune
270,Indbyggertal 1. januar,2017,41213.0,Gribskov Kommune
270,Indbyggertal 1. januar,2018,41217.0,Gribskov Kommune
270,Indbyggertal 1. januar,2019,41195.0,Gribskov Kommune
270,Indbyggertal 1. januar,2020,41048.0,Gribskov Kommune
400,Indbyggertal 1. januar,2010,42154.0,Bornholms Kommune
400,Indbyggertal 1. januar,2011,41802.0,Bornholms Kommune
400,Indbyggertal 1. januar,2012,41303.0,Bornholms Kommune
400,Indbyggertal 1. januar,2013,40715.0,Bornholms Kommune
400,Indbyggertal 1. januar,2014,40215.0,Bornholms Kommune
400,Indbyggertal 1. januar,2015,39828.0,Bornholms Kommune
400,Indbyggertal 1. januar,2016,39756.0,Bornholms Kommune
400,Indbyggertal 1. januar,2017,39695.0,Bornholms Kommune
400,Indbyggertal 1. januar,2018,39632.0,Bornholms Kommune
400,Indbyggertal 1. januar,2019,39572.0,Bornholms Kommune
400,Indbyggertal 1. januar,2020,39499.0,Bornholms Kommune
253,Indbyggertal 1. januar,2010,47826.0,Greve Kommune
253,Indbyggertal 1. januar,2011,47978.0,Greve Kommune
253,Indbyggertal 1. januar,2012,47942.0,Greve Kommune
253,Indbyggertal 1. januar,2013,47980.0,Greve Kommune
253,Indbyggertal 1. januar,2014,48095.0,Greve Kommune
253,Indbyggertal 1. januar,2015,48835.0,Greve Kommune
253,Indbyggertal 1. januar,2016,49518.0,Greve Kommune
253,Indbyggertal 1. januar,2017,49921.0,Greve Kommune
253,Indbyggertal 1. januar,2018,49974.0,Greve Kommune
253,Indbyggertal 1. januar,2019,50267.0,Greve Kommune
253,Indbyggertal 1. januar,2020,50558.0,Greve Kommune
259,Indbyggertal 1. januar,2010,57125.0,Køge Kommune
259,Indbyggertal 1. januar,2011,57271.0,Køge Kommune
259,Indbyggertal 1. januar,2012,57307.0,Køge Kommune
259,Indbyggertal 1. januar,2013,57771.0,Køge Kommune
259,Indbyggertal 1. januar,2014,58374.0,Køge Kommune
259,Indbyggertal 1. januar,2015,59285.0,Køge Kommune
259,Indbyggertal 1. januar,2016,59868.0,Køge Kommune
259,Indbyggertal 1. januar,2017,60109.0,Køge Kommune
259,Indbyggertal 1. januar,2018,60356.0,Køge Kommune
259,Indbyggertal 1. januar,2019,60675.0,Køge Kommune
259,Indbyggertal 1. januar,2020,60979.0,Køge Kommune
265,Indbyggertal 1. januar,2010,81947.0,Roskilde Kommune
265,Indbyggertal 1. januar,2011,82542.0,Roskilde Kommune
265,Indbyggertal 1. januar,2012,83137.0,Roskilde Kommune
265,Indbyggertal 1. januar,2013,83554.0,Roskilde Kommune
265,Indbyggertal 1. januar,2014,84219.0,Roskilde Kommune
265,Indbyggertal 1. januar,2015,85026.0,Roskilde Kommune
265,Indbyggertal 1. januar,2016,86207.0,Roskilde Kommune
265,Indbyggertal 1. januar,2017,87015.0,Roskilde Kommune
265,Indbyggertal 1. januar,2018,87382.0,Roskilde Kommune
265,Indbyggertal 1. januar,2019,87577.0,Roskilde Kommune
265,Indbyggertal 1. januar,2020,87914.0,Roskilde Kommune
269,Indbyggertal 1. januar,2010,20882.0,Solrød Kommune
269,Indbyggertal 1. januar,2011,20964.0,Solrød Kommune
269,Indbyggertal 1. januar,2012,21156.0,Solrød Kommune
269,Indbyggertal 1. januar,2013,21145.0,Solrød Kommune
269,Indbyggertal 1. januar,2014,21339.0,Solrød Kommune
269,Indbyggertal 1. januar,2015,21552.0,Solrød Kommune
269,Indbyggertal 1. januar,2016,21788.0,Solrød Kommune
269,Indbyggertal 1. januar,2017,22147.0,Solrød Kommune
269,Indbyggertal 1. januar,2018,22518.0,Solrød Kommune
269,Indbyggertal 1. januar,2019,23065.0,Solrød Kommune
269,Indbyggertal 1. januar,2020,23255.0,Solrød Kommune
306,Indbyggertal 1. januar,2010,33030.0,Odsherred Kommune
306,Indbyggertal 1. januar,2011,32845.0,Odsherred Kommune
306,Indbyggertal 1. januar,2012,32640.0,Odsherred Kommune
306,Indbyggertal 1. januar,2013,32452.0,Odsherred Kommune
306,Indbyggertal 1. januar,2014,32534.0,Odsherred Kommune
306,Indbyggertal 1. januar,2015,32665.0,Odsherred Kommune
306,Indbyggertal 1. januar,2016,32816.0,Odsherred Kommune
306,Indbyggertal 1. januar,2017,33023.0,Odsherred Kommune
306,Indbyggertal 1. januar,2018,33083.0,Odsherred Kommune
306,Indbyggertal 1. januar,2019,33122.0,Odsherred Kommune
306,Indbyggertal 1. januar,2020,32957.0,Odsherred Kommune
316,Indbyggertal 1. januar,2010,69550.0,Holbæk Kommune
316,Indbyggertal 1. januar,2011,69521.0,Holbæk Kommune
316,Indbyggertal 1. januar,2012,69415.0,Holbæk Kommune
316,Indbyggertal 1. januar,2013,69263.0,Holbæk Kommune
316,Indbyggertal 1. januar,2014,69016.0,Holbæk Kommune
316,Indbyggertal 1. januar,2015,69035.0,Holbæk Kommune
316,Indbyggertal 1. januar,2016,69972.0,Holbæk Kommune
316,Indbyggertal 1. januar,2017,70950.0,Holbæk Kommune
316,Indbyggertal 1. januar,2018,70983.0,Holbæk Kommune
316,Indbyggertal 1. januar,2019,71297.0,Holbæk Kommune
316,Indbyggertal 1. januar,2020,71541.0,Holbæk Kommune
320,Indbyggertal 1. januar,2010,35306.0,Faxe Kommune
320,Indbyggertal 1. januar,2011,35277.0,Faxe Kommune
320,Indbyggertal 1. januar,2012,35110.0,Faxe Kommune
320,Indbyggertal 1. januar,2013,35123.0,Faxe Kommune
320,Indbyggertal 1. januar,2014,35119.0,Faxe Kommune
320,Indbyggertal 1. januar,2015,35195.0,Faxe Kommune
320,Indbyggertal 1. januar,2016,35614.0,Faxe Kommune
320,Indbyggertal 1. januar,2017,35916.0,Faxe Kommune
320,Indbyggertal 1. januar,2018,36139.0,Faxe Kommune
320,Indbyggertal 1. januar,2019,36513.0,Faxe Kommune
320,Indbyggertal 1. januar,2020,36576.0,Faxe Kommune
326,Indbyggertal 1. januar,2010,49265.0,Kalundborg Kommune
326,Indbyggertal 1. januar,2011,49088.0,Kalundborg Kommune
326,Indbyggertal 1. januar,2012,48632.0,Kalundborg Kommune
326,Indbyggertal 1. januar,2013,48294.0,Kalundborg Kommune
326,Indbyggertal 1. januar,2014,48358.0,Kalundborg Kommune
326,Indbyggertal 1. januar,2015,48469.0,Kalundborg Kommune
326,Indbyggertal 1. januar,2016,48660.0,Kalundborg Kommune
326,Indbyggertal 1. januar,2017,48736.0,Kalundborg Kommune
326,Indbyggertal 1. januar,2018,48982.0,Kalundborg Kommune
326,Indbyggertal 1. januar,2019,48681.0,Kalundborg Kommune
326,Indbyggertal 1. januar,2020,48436.0,Kalundborg Kommune
329,Indbyggertal 1. januar,2010,32584.0,Ringsted Kommune
329,Indbyggertal 1. januar,2011,32890.0,Ringsted Kommune
329,Indbyggertal 1. januar,2012,33153.0,Ringsted Kommune
329,Indbyggertal 1. januar,2013,33217.0,Ringsted Kommune
329,Indbyggertal 1. januar,2014,33349.0,Ringsted Kommune
329,Indbyggertal 1. januar,2015,33573.0,Ringsted Kommune
329,Indbyggertal 1. januar,2016,34031.0,Ringsted Kommune
329,Indbyggertal 1. januar,2017,34259.0,Ringsted Kommune
329,Indbyggertal 1. januar,2018,34473.0,Ringsted Kommune
329,Indbyggertal 1. januar,2019,34725.0,Ringsted Kommune
329,Indbyggertal 1. januar,2020,34852.0,Ringsted Kommune
