KommuneNr,IndicatorType,Year,Value
159,Indbyggertal 1. januar,2020,69262.0
161,Indbyggertal 1. januar,2010,21296.0
161,Indbyggertal 1. januar,2011,21384.0
161,Indbyggertal 1. januar,2012,21650.0
161,Indbyggertal 1. januar,2013,21869.0
161,Indbyggertal 1. januar,2014,22066.0
161,Indbyggertal 1. januar,2015,22357.0
161,Indbyggertal 1. januar,2016,22461.0
161,Indbyggertal 1. januar,2017,22528.0
161,Indbyggertal 1. januar,2018,22663.0
161,Indbyggertal 1. januar,2019,22615.0
161,Indbyggertal 1. januar,2020,23128.0
163,Indbyggertal 1. januar,2010,26556.0
163,Indbyggertal 1. januar,2011,26597.0
163,Indbyggertal 1. januar,2012,26608.0
163,Indbyggertal 1. januar,2013,26958.0
163,Indbyggertal 1. januar,2014,27706.0
163,Indbyggertal 1. januar,2015,28148.0
163,Indbyggertal 1. januar,2016,28423.0
163,Indbyggertal 1. januar,2017,28406.0
163,Indbyggertal 1. januar,2018,28572.0
163,Indbyggertal 1. januar,2019,28786.0
163,Indbyggertal 1. januar,2020,28953.0
165,Indbyggertal 1. januar,2010,27730.0
165,Indbyggertal 1. januar,2011,27800.0
165,Indbyggertal 1. januar,2012,27864.0
165,Indbyggertal 1. januar,2013,27824.0
165,Indbyggertal 1. januar,2014,27728.0
165,Indbyggertal 1. januar,2015,27806.0
165,Indbyggertal 1. januar,2016,27880.0
165,Indbyggertal 1. januar,2017,27896.0
165,Indbyggertal 1. januar,2018,27743.0
165,Indbyggertal 1. januar,2019,27877.0
165,Indbyggertal 1. januar,2020,27731.0
167,Indbyggertal 1. januar,2010,49724.0
167,Indbyggertal 1. januar,2011,50081.0
167,Indbyggertal 1. januar,2012,50600.0
167,Indbyggertal 1. januar,2013,51341.0
167,Indbyggertal 1. januar,2014,51842.0
167,Indbyggertal 1. januar,2015,52380.0
167,Indbyggertal 1. januar,2016,52831.0
167,Indbyggertal 1. januar,2017,52964.0
167,Indbyggertal 1. januar,2018,53282.0
167,Indbyggertal 1. januar,2019,53416.0
167,Indbyggertal 1. januar,2020,53527.0
169,Indbyggertal 1. januar,2010,47664.0
169,Indbyggertal 1. januar,2011,47753.0
169,Indbyggertal 1. januar,2012,48081.0
169,Indbyggertal 1. januar,2013,48471.0
169,Indbyggertal 1. januar,2014,48807.0
169,Indbyggertal 1. januar,2015,49230.0
169,Indbyggertal 1. januar,2016,49960.0
169,Indbyggertal 1. januar,2017,50246.0
169,Indbyggertal 1. januar,2018,50596.0
169,Indbyggertal 1. januar,2019,50686.0
169,Indbyggertal 1. januar,2020,50759.0
173,Indbyggertal 1. januar,2010,52237.0
173,Indbyggertal 1. januar,2011,52754.0
173,Indbyggertal 1. januar,2012,53251.0
173,Indbyggertal 1. januar,2013,53840.0
173,Indbyggertal 1. januar,2014,54237.0
173,Indbyggertal 1. januar,2015,54778.0
173,Indbyggertal 1. januar,2016,55097.0
173,Indbyggertal 1. januar,2017,55240.0
173,Indbyggertal 1. januar,2018,55472.0
173,Indbyggertal 1. januar,2019,55790.0
173,Indbyggertal 1. januar,2020,56214.0
175,Indbyggertal 1. januar,2010,36233.0
175,Indbyggertal 1. januar,2011,36524.0
175,Indbyggertal 1. januar,2012,36883.0
175,Indbyggertal 1. januar,2013,37351.0
175,Indbyggertal 1. januar,2014,37552.0
175,Indbyggertal 1. januar,2015,37743.0
175,Indbyggertal 1. januar,2016,38002.0
175,Indbyggertal 1. januar,2017,38492.0
175,Indbyggertal 1. januar,2018,39343.0
175,Indbyggertal 1. januar,2019,40052.0
175,Indbyggertal 1. januar,2020,40652.0
183,Indbyggertal 1. januar,2010,20606.0
183,Indbyggertal 1. januar,2011,20797.0
183,Indbyggertal 1. januar,2012,21087.0
183,Indbyggertal 1. januar,2013,21131.0
183,Indbyggertal 1. januar,2014,21547.0
183,Indbyggertal 1. januar,2015,22025.0
183,Indbyggertal 1. januar,2016,22358.0
183,Indbyggertal 1. januar,2017,22719.0
183,Indbyggertal 1. januar,2018,22988.0
183,Indbyggertal 1. januar,2019,22946.0
183,Indbyggertal 1. januar,2020,22989.0
185,Indbyggertal 1. januar,2010,40383.0
185,Indbyggertal 1. januar,2011,40835.0
185,Indbyggertal 1. januar,2012,41151.0
185,Indbyggertal 1. januar,2013,41572.0
185,Indbyggertal 1. januar,2014,41992.0
185,Indbyggertal 1. januar,2015,42573.0
185,Indbyggertal 1. januar,2016,42860.0
185,Indbyggertal 1. januar,2017,43010.0
185,Indbyggertal 1. januar,2018,43063.0
185,Indbyggertal 1. januar,2019,42984.0
185,Indbyggertal 1. januar,2020,42989.0
187,Indbyggertal 1. januar,2010,14045.0
187,Indbyggertal 1. januar,2011,14445.0
187,Indbyggertal 1. januar,2012,14565.0
187,Indbyggertal 1. januar,2013,14797.0
187,Indbyggertal 1. januar,2014,15095.0
187,Indbyggertal 1. januar,2015,15204.0
187,Indbyggertal 1. januar,2016,15419.0
187,Indbyggertal 1. januar,2017,15705.0
187,Indbyggertal 1. januar,2018,16280.0
187,Indbyggertal 1. januar,2019,16654.0
187,Indbyggertal 1. januar,2020,16633.0
190,Indbyggertal 1. januar,2010,38232.0
190,Indbyggertal 1. januar,2011,38286.0
190,Indbyggertal 1. januar,2012,38243.0
190,Indbyggertal 1. januar,2013,38236.0
190,Indbyggertal 1. januar,2014,38492.0
190,Indbyggertal 1. januar,2015,39077.0
190,Indbyggertal 1. januar,2016,40156.0
190,Indbyggertal 1. januar,2017,40613.0
190,Indbyggertal 1. januar,2018,40911.0
190,Indbyggertal 1. januar,2019,41069.0
190,Indbyggertal 1. januar,2020,40965.0
201,Indbyggertal 1. januar,2010,24089.0
201,Indbyggertal 1. januar,2011,24096.0
201,Indbyggertal 1. januar,2012,24043.0
201,Indbyggertal 1. januar,2013,24073.0
201,Indbyggertal 1. januar,2014,24175.0
201,Indbyggertal 1. januar,2015,24411.0
201,Indbyggertal 1. januar,2016,24732.0
201,Indbyggertal 1. januar,2017,24942.0
201,Indbyggertal 1. januar,2018,25235.0
201,Indbyggertal 1. januar,2019,25646.0
201,Indbyggertal 1. januar,2020,25633.0
210,Indbyggertal 1. januar,2010,39226.0
210,Indbyggertal 1. januar,2011,39341.0
210,Indbyggertal 1. januar,2012,39565.0
210,Indbyggertal 1. januar,2013,39462.0
210,Indbyggertal 1. januar,2014,39585.0
210,Indbyggertal 1. januar,2015,39772.0
210,Indbyggertal 1. januar,2016,40112.0
210,Indbyggertal 1. januar,2017,40504.0
210,Indbyggertal 1. januar,2018,40779.0
210,Indbyggertal 1. januar,2019,40819.0
210,Indbyggertal 1. januar,2020,40865.0
217,Indbyggertal 1. januar,2010,61143.0
217,Indbyggertal 1. januar,2011,61368.0
217,Indbyggertal 1. januar,2012,61493.0
217,Indbyggertal 1. januar,2013,61613.0
217,Indbyggertal 1. januar,2014,61519.0
217,Indbyggertal 1. januar,2015,61632.0
217,Indbyggertal 1. januar,2016,62092.0
217,Indbyggertal 1. januar,2017,62443.0
217,Indbyggertal 1. januar,2018,62686.0
217,Indbyggertal 1. januar,2019,62567.0
217,Indbyggertal 1. januar,2020,62695.0
219,Indbyggertal 1. januar,2010,47473.0
219,Indbyggertal 1. januar,2011,47916.0
219,Indbyggertal 1. januar,2012,48203.0
219,Indbyggertal 1. januar,2013,48315.0
219,Indbyggertal 1. januar,2014,48695.0
219,Indbyggertal 1. januar,2015,49108.0
219,Indbyggertal 1. januar,2016,49672.0
219,Indbyggertal 1. januar,2017,50109.0
219,Indbyggertal 1. januar,2018,50650.0
219,Indbyggertal 1. januar,2019,50998.0
219,Indbyggertal 1. januar,2020,51183.0
223,Indbyggertal 1. januar,2010,24378.0
223,Indbyggertal 1. januar,2011,24415.0
223,Indbyggertal 1. januar,2012,24365.0
223,Indbyggertal 1. januar,2013,24543.0
223,Indbyggertal 1. januar,2014,24709.0
223,Indbyggertal 1. januar,2015,24856.0
223,Indbyggertal 1. januar,2016,24965.0
223,Indbyggertal 1. januar,2017,24977.0
223,Indbyggertal 1. januar,2018,25028.0
223,Indbyggertal 1. januar,2019,25007.0
223,Indbyggertal 1. januar,2020,24864.0
230,Indbyggertal 1. januar,2010,54444.0
230,Indbyggertal 1. januar,2011,54765.0
230,Indbyggertal 1. januar,2012,54630.0
230,Indbyggertal 1. januar,2013,54827.0
230,Indbyggertal 1. januar,2014,55034.0
230,Indbyggertal 1. januar,2015,55441.0
230,Indbyggertal 1. januar,2016,55739.0
230,Indbyggertal 1. januar,2017,56133.0
230,Indbyggertal 1. januar,2018,55989.0
230,Indbyggertal 1. januar,2019,56509.0
230,Indbyggertal 1. januar,2020,56728.0
240,Indbyggertal 1. januar,2010,41513.0
240,Indbyggertal 1. januar,2011,41614.0
240,Indbyggertal 1. januar,2012,41821.0
240,Indbyggertal 1. januar,2013,42018.0
240,Indbyggertal 1. januar,2014,42210.0
240,Indbyggertal 1. januar,2015,42573.0
240,Indbyggertal 1. januar,2016,42773.0
240,Indbyggertal 1. januar,2017,43082.0
240,Indbyggertal 1. januar,2018,43000.0
240,Indbyggertal 1. januar,2019,43335.0
240,Indbyggertal 1. januar,2020,43354.0
250,Indbyggertal 1. januar,2010,44182.0
250,Indbyggertal 1. januar,2011,44307.0
250,Indbyggertal 1. januar,2012,44345.0
250,Indbyggertal 1. januar,2013,44365.0
250,Indbyggertal 1. januar,2014,44401.0
250,Indbyggertal 1. januar,2015,44413.0
250,Indbyggertal 1. januar,2016,44725.0
250,Indbyggertal 1. januar,2017,45036.0
250,Indbyggertal 1. januar,2018,45189.0
250,Indbyggertal 1. januar,2019,45332.0
250,Indbyggertal 1. januar,2020,45223.0
260,Indbyggertal 1. januar,2010,31077.0
260,Indbyggertal 1. januar,2011,31056.0
260,Indbyggertal 1. januar,2012,30980.0
260,Indbyggertal 1. januar,2013,30803.0
260,Indbyggertal 1. januar,2014,30647.0
260,Indbyggertal 1. januar,2015,30736.0
260,Indbyggertal 1. januar,2016,31049.0
260,Indbyggertal 1. januar,2017,31162.0
260,Indbyggertal 1. januar,2018,31168.0
260,Indbyggertal 1. januar,2019,31271.0
260,Indbyggertal 1. januar,2020,31384.0
270,Indbyggertal 1. januar,2010,40694.0
270,Indbyggertal 1. januar,2011,40700.0
270,Indbyggertal 1. januar,2012,40603.0
270,Indbyggertal 1. januar,2013,40655.0
270,Indbyggertal 1. januar,2014,40778.0
270,Indbyggertal 1. januar,2015,40855.0
270,Indbyggertal 1. januar,2016,41107.0
270,Indbyggertal 1. januar,2017,41213.0
270,Indbyggertal 1. januar,2018,41217.0
270,Indbyggertal 1. januar,2019,41195.0
270,Indbyggertal 1. januar,2020,41048.0
400,Indbyggertal 1. januar,2010,42154.0
400,Indbyggertal 1. januar,2011,41802.0
400,Indbyggertal 1. januar,2012,41303.0
400,Indbyggertal 1. januar,2013,40715.0
400,Indbyggertal 1. januar,2014,40215.0
400,Indbyggertal 1. januar,2015,39828.0
400,Indbyggertal 1. januar,2016,39756.0
400,Indbyggertal 1. januar,2017,39695.0
400,Indbyggertal 1. januar,2018,39632.0
400,Indbyggertal 1. januar,2019,39572.0
400,Indbyggertal 1. januar,2020,39499.0
253,Indbyggertal 1. januar,2010,47826.0
253,Indbyggertal 1. januar,2011,47978.0
253,Indbyggertal 1. januar,2012,47942.0
253,Indbyggertal 1. januar,2013,47980.0
253,Indbyggertal 1. januar,2014,48095.0
253,Indbyggertal 1. januar,2015,48835.0
253,Indbyggertal 1. januar,2016,49518.0
253,Indbyggertal 1. januar,2017,49921.0
253,Indbyggertal 1. januar,2018,49974.0
253,Indbyggertal 1. januar,2019,50267.0
253,Indbyggertal 1. januar,2020,50558.0
259,Indbyggertal 1. januar,2010,57125.0
259,Indbyggertal 1. januar,2011,57271.0
259,Indbyggertal 1. januar,2012,57307.0
259,Indbyggertal 1. januar,2013,57771.0
259,Indbyggertal 1. januar,2014,58374.0
259,Indbyggertal 1. januar,2015,59285.0
259,Indbyggertal 1. januar,2016,59868.0
259,Indbyggertal 1. januar,2017,60109.0
259,Indbyggertal 1. januar,2018,60356.0
259,Indbyggertal 1. januar,2019,60675.0
259,Indbyggertal 1. januar,2020,60979.0
265,Indbyggertal 1. januar,2010,81947.0
265,Indbyggertal 1. januar,2011,82542.0
265,Indbyggertal 1. januar,2012,83137.0
265,Indbyggertal 1. januar,2013,83554.0
265,Indbyggertal 1. januar,2014,84219.0
265,Indbyggertal 1. januar,2015,85026.0
265,Indbyggertal 1. januar,2016,86207.0
265,Indbyggertal 1. januar,2017,87015.0
265,Indbyggertal 1. januar,2018,87382.0
265,Indbyggertal 1. januar,2019,87577.0
265,Indbyggertal 1. januar,2020,87914.0
269,Indbyggertal 1. januar,2010,20882.0
269,Indbyggertal 1. januar,2011,20964.0
269,Indbyggertal 1. januar,2012,21156.0
269,Indbyggertal 1. januar,2013,21145.0
269,Indbyggertal 1. januar,2014,21339.0
269,Indbyggertal 1. januar,2015,21552.0
269,Indbyggertal 1. januar,2016,21788.0
269,Indbyggertal 1. januar,2017,22147.0
269,Indbyggertal 1. januar,2018,22518.0
269,Indbyggertal 1. januar,2019,23065.0
269,Indbyggertal 1. januar,2020,23255.0
306,Indbyggertal 1. januar,2010,33030.0
306,Indbyggertal 1. januar,2011,32845.0
306,Indbyggertal 1. januar,2012,32640.0
306,Indbyggertal 1. januar,2013,32452.0
306,Indbyggertal 1. januar,2014,32534.0
306,Indbyggertal 1. januar,2015,32665.0
306,Indbyggertal 1. januar,2016,32816.0
306,Indbyggertal 1. januar,2017,33023.0
306,Indbyggertal 1. januar,2018,33083.0
306,Indbyggertal 1. januar,2019,33122.0
306,Indbyggertal 1. januar,2020,32957.0
316,Indbyggertal 1. januar,2010,69550.0
316,Indbyggertal 1. januar,2011,69521.0
316,Indbyggertal 1. januar,2012,69415.0
316,Indbyggertal 1. januar,2013,69263.0
316,Indbyggertal 1. januar,2014,69016.0
316,Indbyggertal 1. januar,2015,69035.0
316,Indbyggertal 1. januar,2016,69972.0
316,Indbyggertal 1. januar,2017,70950.0
316,Indbyggertal 1. januar,2018,70983.0
316,Indbyggertal 1. januar,2019,71297.0
316,Indbyggertal 1. januar,2020,71541.0
320,Indbyggertal 1. januar,2010,35306.0
320,Indbyggertal 1. januar,2011,35277.0
320,Indbyggertal 1. januar,2012,35110.0
320,Indbyggertal 1. januar,2013,35123.0
320,Indbyggertal 1. januar,2014,35119.0
320,Indbyggertal 1. januar,2015,35195.0
320,Indbyggertal 1. januar,2016,35614.0
320,Indbyggertal 1. januar,2017,35916.0
320,Indbyggertal 1. januar,2018,36139.0
320,Indbyggertal 1. januar,2019,36513.0
320,Indbyggertal 1. januar,2020,36576.0
326,Indbyggertal 1. januar,2010,49265.0
326,Indbyggertal 1. januar,2011,49088.0
326,Indbyggertal 1. januar,2012,48632.0
326,Indbyggertal 1. januar,2013,48294.0
326,Indbyggertal 1. januar,2014,48358.0
326,Indbyggertal 1. januar,2015,48469.0
326,Indbyggertal 1. januar,2016,48660.0
326,Indbyggertal 1. januar,2017,48736.0
326,Indbyggertal 1. januar,2018,48982.0
326,Indbyggertal 1. januar,2019,48681.0
326,Indbyggertal 1. januar,2020,48436.0
329,Indbyggertal 1. januar,2010,32584.0
329,Indbyggertal 1. januar,2011,32890.0
329,Indbyggertal 1. januar,2012,33153.0
329,Indbyggertal 1. januar,2013,33217.0
329,Indbyggertal 1. januar,2014,33349.0
329,Indbyggertal 1. januar,2015,33573.0
329,Indbyggertal 1. januar,2016,34031.0
329,Indbyggertal 1. januar,2017,34259.0
329,Indbyggertal 1. januar,2018,34473.0
329,Indbyggertal 1. januar,2019,34725.0
329,Indbyggertal 1. januar,2020,34852.0
330,Indbyggertal 1. januar,2010,77475.0
330,Indbyggertal 1. januar,2011,77442.0
330,Indbyggertal 1. januar,2012,77310.0
330,Indbyggertal 1. januar,2013,77167.0
330,Indbyggertal 1. januar,2014,76948.0
330,Indbyggertal 1. januar,2015,77293.0
330,Indbyggertal 1. januar,2016,78140.0
330,Indbyggertal 1. januar,2017,78828.0
330,Indbyggertal 1. januar,2018,78968.0
330,Indbyggertal 1. januar,2019,79073.0
330,Indbyggertal 1. januar,2020,79073.0
336,Indbyggertal 1. januar,2010,21931.0
336,Indbyggertal 1. januar,2011,21855.0
336,Indbyggertal 1. januar,2012,21855.0
336,Indbyggertal 1. januar,2013,21818.0
336,Indbyggertal 1. januar,2014,21825.0
336,Indbyggertal 1. januar,2015,22038.0
336,Indbyggertal 1. januar,2016,22260.0
336,Indbyggertal 1. januar,2017,22492.0
336,Indbyggertal 1. januar,2018,22727.0
336,Indbyggertal 1. januar,2019,22782.0
336,Indbyggertal 1. januar,2020,22805.0
340,Indbyggertal 1. januar,2010,29522.0
340,Indbyggertal 1. januar,2011,29499.0
340,Indbyggertal 1. januar,2012,29393.0
340,Indbyggertal 1. januar,2013,29288.0
340,Indbyggertal 1. januar,2014,29299.0
340,Indbyggertal 1. januar,2015,29331.0
340,Indbyggertal 1. januar,2016,29543.0
340,Indbyggertal 1. januar,2017,29595.0
340,Indbyggertal 1. januar,2018,29669.0
340,Indbyggertal 1. januar,2019,29834.0
340,Indbyggertal 1. januar,2020,29881.0
350,Indbyggertal 1. januar,2010,26794.0
350,Indbyggertal 1. januar,2011,26764.0
350,Indbyggertal 1. januar,2012,26887.0
350,Indbyggertal 1. januar,2013,26901.0
350,Indbyggertal 1. januar,2014,26989.0
350,Indbyggertal 1. januar,2015,27172.0
350,Indbyggertal 1. januar,2016,27317.0
350,Indbyggertal 1. januar,2017,27402.0
350,Indbyggertal 1. januar,2018,27544.0
350,Indbyggertal 1. januar,2019,27775.0
350,Indbyggertal 1. januar,2020,27996.0
360,Indbyggertal 1. januar,2010,46984.0
360,Indbyggertal 1. januar,2011,46111.0
360,Indbyggertal 1. januar,2012,45241.0
360,Indbyggertal 1. januar,2013,44436.0
360,Indbyggertal 1. januar,2014,43528.0
360,Indbyggertal 1. januar,2015,43024.0
360,Indbyggertal 1. januar,2016,42638.0
360,Indbyggertal 1. januar,2017,42285.0
360,Indbyggertal 1. januar,2018,41982.0
360,Indbyggertal 1. januar,2019,41615.0
360,Indbyggertal 1. januar,2020,41105.0
370,Indbyggertal 1. januar,2010,81112.0
370,Indbyggertal 1. januar,2011,80963.0
370,Indbyggertal 1. januar,2012,81012.0
370,Indbyggertal 1. januar,2013,81163.0
370,Indbyggertal 1. januar,2014,81432.0
370,Indbyggertal 1. januar,2015,81687.0
370,Indbyggertal 1. januar,2016,82342.0
370,Indbyggertal 1. januar,2017,82581.0
370,Indbyggertal 1. januar,2018,82938.0
370,Indbyggertal 1. januar,2019,82991.0
370,Indbyggertal 1. januar,2020,83143.0
376,Indbyggertal 1. januar,2010,62912.0
376,Indbyggertal 1. januar,2011,62583.0
376,Indbyggertal 1. januar,2012,61913.0
376,Indbyggertal 1. januar,2013,61322.0
376,Indbyggertal 1. januar,2014,61007.0
376,Indbyggertal 1. januar,2015,60829.0
376,Indbyggertal 1. januar,2016,60979.0
376,Indbyggertal 1. januar,2017,61257.0
376,Indbyggertal 1. januar,2018,61219.0
376,Indbyggertal 1. januar,2019,60930.0
376,Indbyggertal 1. januar,2020,60722.0
390,Indbyggertal 1. januar,2010,46319.0
390,Indbyggertal 1. januar,2011,46170.0
390,Indbyggertal 1. januar,2012,45804.0
390,Indbyggertal 1. januar,2013,45465.0
390,Indbyggertal 1. januar,2014,45295.0
390,Indbyggertal 1. januar,2015,45471.0
390,Indbyggertal 1. januar,2016,45806.0
390,Indbyggertal 1. januar,2017,46037.0
390,Indbyggertal 1. januar,2018,46087.0
390,Indbyggertal 1. januar,2019,45816.0
390,Indbyggertal 1. januar,2020,45566.0
410,Indbyggertal 1. januar,2010,37661.0
410,Indbyggertal 1. januar,2011,37701.0
410,Indbyggertal 1. januar,2012,37612.0
410,Indbyggertal 1. januar,2013,37523.0
410,Indbyggertal 1. januar,2014,37685.0
410,Indbyggertal 1. januar,2015,37857.0
410,Indbyggertal 1. januar,2016,37913.0
410,Indbyggertal 1. januar,2017,38093.0
410,Indbyggertal 1. januar,2018,38210.0
410,Indbyggertal 1. januar,2019,38553.0
410,Indbyggertal 1. januar,2020,38853.0
420,Indbyggertal 1. januar,2010,42054.0
420,Indbyggertal 1. januar,2011,41635.0
420,Indbyggertal 1. januar,2012,41443.0
420,Indbyggertal 1. januar,2013,41325.0
420,Indbyggertal 1. januar,2014,41037.0
420,Indbyggertal 1. januar,2015,41046.0
420,Indbyggertal 1. januar,2016,41224.0
420,Indbyggertal 1. januar,2017,41390.0
420,Indbyggertal 1. januar,2018,41328.0
420,Indbyggertal 1. januar,2019,41212.0
420,Indbyggertal 1. januar,2020,40965.0
430,Indbyggertal 1. januar,2010,52085.0
430,Indbyggertal 1. januar,2011,51926.0
430,Indbyggertal 1. januar,2012,51635.0
430,Indbyggertal 1. januar,2013,51409.0
430,Indbyggertal 1. januar,2014,51078.0
430,Indbyggertal 1. januar,2015,50953.0
430,Indbyggertal 1. januar,2016,51236.0
430,Indbyggertal 1. januar,2017,51376.0
430,Indbyggertal 1. januar,2018,51536.0
430,Indbyggertal 1. januar,2019,51809.0
430,Indbyggertal 1. januar,2020,51556.0
440,Indbyggertal 1. januar,2010,23770.0
440,Indbyggertal 1. januar,2011,23758.0
440,Indbyggertal 1. januar,2012,23793.0
440,Indbyggertal 1. januar,2013,23787.0
440,Indbyggertal 1. januar,2014,23665.0
440,Indbyggertal 1. januar,2015,23728.0
440,Indbyggertal 1. januar,2016,23880.0
440,Indbyggertal 1. januar,2017,23774.0
440,Indbyggertal 1. januar,2018,23756.0
440,Indbyggertal 1. januar,2019,23773.0
440,Indbyggertal 1. januar,2020,23812.0
450,Indbyggertal 1. januar,2010,31690.0
450,Indbyggertal 1. januar,2011,31499.0
450,Indbyggertal 1. januar,2012,31486.0
450,Indbyggertal 1. januar,2013,31350.0
450,Indbyggertal 1. januar,2014,31314.0
450,Indbyggertal 1. januar,2015,31573.0
450,Indbyggertal 1. januar,2016,31886.0
450,Indbyggertal 1. januar,2017,32142.0
450,Indbyggertal 1. januar,2018,32032.0
450,Indbyggertal 1. januar,2019,32042.0
450,Indbyggertal 1. januar,2020,32009.0
461,Indbyggertal 1. januar,2010,188777.0
461,Indbyggertal 1. januar,2011,190245.0
461,Indbyggertal 1. januar,2012,191610.0
461,Indbyggertal 1. januar,2013,193370.0
461,Indbyggertal 1. januar,2014,195797.0
461,Indbyggertal 1. januar,2015,197480.0
461,Indbyggertal 1. januar,2016,198972.0
461,Indbyggertal 1. januar,2017,200563.0
461,Indbyggertal 1. januar,2018,202348.0
461,Indbyggertal 1. januar,2019,204182.0
461,Indbyggertal 1. januar,2020,204895.0
479,Indbyggertal 1. januar,2010,58998.0
479,Indbyggertal 1. januar,2011,58713.0
479,Indbyggertal 1. januar,2012,58551.0
479,Indbyggertal 1. januar,2013,58296.0
479,Indbyggertal 1. januar,2014,57979.0
479,Indbyggertal 1. januar,2015,57988.0
479,Indbyggertal 1. januar,2016,58228.0
479,Indbyggertal 1. januar,2017,58510.0
479,Indbyggertal 1. januar,2018,58698.0
479,Indbyggertal 1. januar,2019,58599.0
479,Indbyggertal 1. januar,2020,58296.0
480,Indbyggertal 1. januar,2010,29638.0
480,Indbyggertal 1. januar,2011,29507.0
480,Indbyggertal 1. januar,2012,29330.0
480,Indbyggertal 1. januar,2013,29224.0
480,Indbyggertal 1. januar,2014,29066.0
480,Indbyggertal 1. januar,2015,29030.0
480,Indbyggertal 1. januar,2016,29298.0
480,Indbyggertal 1. januar,2017,29446.0
480,Indbyggertal 1. januar,2018,29516.0
480,Indbyggertal 1. januar,2019,29693.0
480,Indbyggertal 1. januar,2020,29665.0
482,Indbyggertal 1. januar,2010,13510.0
482,Indbyggertal 1. januar,2011,13322.0
482,Indbyggertal 1. januar,2012,13094.0
482,Indbyggertal 1. januar,2013,12861.0
482,Indbyggertal 1. januar,2014,12695.0
482,Indbyggertal 1. januar,2015,12647.0
482,Indbyggertal 1. januar,2016,12547.0
482,Indbyggertal 1. januar,2017,12578.0
482,Indbyggertal 1. januar,2018,12641.0
482,Indbyggertal 1. januar,2019,12560.0
482,Indbyggertal 1. januar,2020,12491.0
492,Indbyggertal 1. januar,2010,6679.0
